# single module 285 Wp,,,,,,,,,,
# error metrics tbd,,,,,,,,,,
# meteo variables are all forecasted,,,,,,,,,,
# all meteo variables from 23:00 previous day,,,,,,,,,,
# forcast target is 24 h day-ahead done at 23:00 every day,,,,,,,,,,
# dont share,,,,,,,,,,
# data for 2014 and 2017 only,,,,,,,,,,
Datetime,Temperature (degC),Irradiance_0 (W/m2),Irradiance_30 (W/m2),Wind_speed (m/s),Wind_direction,Pressure,Precipitation (mm),Cloud_cover,Cloud_type,Power DC (W)
2014-02-08 00:00,3,0,0,2.5,278,1013,0,61,0,0
2014-02-08 01:00,2.5,0,0,2.22,270,1013,0,54,0,0
2014-02-08 02:00,2.6,0,0,1.94,270,1013,0,81,0,0
2014-02-08 03:00,2.8,0,0,1.94,259,1012,0,91,0,0
2014-02-08 04:00,2.5,0,0,1.67,256,1012,0,100,0,0
2014-02-08 05:00,2.3,0,0,1.67,254,1012,0,100,0,0
2014-02-08 06:00,2.1,0,0,1.39,257,1012,0,100,0,0
2014-02-08 07:00,2,0,0,1.67,247,1012,0,100,0,0
2014-02-08 08:00,2.2,29,29,0.83,245,1012,0,100,0,5.423028107
2014-02-08 09:00,3.1,130,260,1.39,258,1013,0,100,0,18.66467522
2014-02-08 10:00,4.1,207,404,0,306,1013,0,100,0,37.40802017
2014-02-08 11:00,5.3,260,474,1.11,72,1012,0,100,0,37.39068862
2014-02-08 12:00,6.1,301,535,1.67,90,1011,0,100,0,77.40226911
2014-02-08 13:00,6.8,179,317,1.94,97,1011,0,100,0,40.84988137
2014-02-08 14:00,6.7,120,217,1.94,120,1011,0,100,0,14.95024492
2014-02-08 15:00,7.4,148,282,2.5,110,1009,0,100,0,7.685276879
2014-02-08 16:00,7.2,65,130,2.78,65,1008,0.2,100,0,2.438064575
2014-02-08 17:00,6.2,11,11,1.94,87,1008,1.4,100,0,0.04063441
2014-02-08 18:00,6.2,0,0,2.22,61,1008,1,100,0,0
2014-02-08 19:00,5.9,0,0,2.22,37,1007,0.8,100,0,0
2014-02-08 20:00,5.5,0,0,2.22,5,1006,0.3,100,0,0
2014-02-08 21:00,4.8,0,0,3.06,339,1007,0.2,100,0,0
2014-02-08 22:00,4.7,0,0,2.5,330,1006,0.2,100,0,0
2014-02-08 23:00,4.4,0,0,2.5,331,1005,0.2,100,0,0
2014-02-09 00:00,5,0,0,1.67,276,1004,0,100,0,0
2014-02-09 01:00,4.7,0,0,1.67,270,1004,0,100,0,0
2014-02-09 02:00,4.5,0,0,1.94,256,1004,0,100,0,0
2014-02-09 03:00,4.4,0,0,1.67,297,1002,0,99,0,0
2014-02-09 04:00,4.3,0,0,1.94,287,1002,0,100,0,0
2014-02-09 05:00,4,0,0,1.39,275,1002,0,99,0,0
2014-02-09 06:00,4.1,0,0,1.39,278,1002,0,83,0,0
2014-02-09 07:00,3.5,0,0,0.83,278,1002,0,32,0,0
2014-02-09 08:00,3.4,64,128,1.39,285,1003,0,13,0,3.026821293
2014-02-09 09:00,4.6,227,454,1.39,284,1003,0,2,0,24.20088448
2014-02-09 10:00,6,381,736,1.94,283,1004,0,0,0,68.33609385
2014-02-09 11:00,7.2,494,895,2.5,273,1004,0,0,0,93.42000048
2014-02-09 12:00,8.2,557,983,2.78,266,1004,0,0,0,184.7354759
2014-02-09 13:00,9,566,996,2.78,262,1004,0,0,0,198.7656558
2014-02-09 14:00,9.6,518,930,2.78,254,1005,0,0,0,179.7835431
2014-02-09 15:00,9.9,417,789,3.06,252,1005,0,0,0,145.5135376
2014-02-09 16:00,10,275,550,2.78,260,1005,0,0,0,94.02737007
2014-02-09 17:00,9.7,103,206,1.67,261,1006,0,0,0,30.41441505
2014-02-09 18:00,8.2,1,1,0,333,1006,0,0,0,0.194460339
2014-02-09 19:00,7.9,0,0,1.67,38,1007,0,0,0,0
2014-02-09 20:00,7.3,0,0,0.83,57,1008,0,17,1,0
2014-02-09 21:00,6.4,0,0,1.39,68,1008,0,47,0.5,0
2014-02-09 22:00,5.9,0,0,1.67,49,1008,0,100,0.5,0
2014-02-09 23:00,5.7,0,0,1.39,48,1009,0,100,0.5,0
2014-02-10 00:00,5.5,0,0,1.67,57,1008,0,100,0,0
2014-02-10 01:00,6.3,0,0,3.06,90,1009,0,100,0.5,0
2014-02-10 02:00,6.3,0,0,2.78,90,1009,0,100,0.5,0
2014-02-10 03:00,5.4,0,0,2.5,97,1008,0,100,0,0
2014-02-10 04:00,5.5,0,0,3.06,93,1007,0,100,0,0
2014-02-10 05:00,5.5,0,0,2.78,100,1006,0,100,0,0
2014-02-10 06:00,5,0,0,3.61,107,1007,0.5,100,0,0
2014-02-10 07:00,5,0,0,3.61,82,1006,0.9,100,0,0
