# TERNA average load,,,,,,,,,,,,,,,,,,,,,,,,
# EOP or BOP unclear,,,,,,,,,,,,,,,,,,,,,,,,
# MW,,,,,,,,,,,,,,,,,,,,,,,,
# column is hour of day,,,,,,,,,,,,,,,,,,,,,,,,
Datestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1/1/2006,27190,25782,24354,23340,22786,22965,23605,23880,24933,26918,28748,29965,29118,27513,27395,27776,30763,32602,33478,33536,32778,31285,29275,26557
1/2/2006,24488,23050,22558,22446,23259,25859,30566,35043,39427,41456,41975,41677,39823,39785,40513,41171,45000,46014,45535,42869,40550,37386,34061,30892
1/3/2006,28459,27217,26527,26511,27125,29452,34095,38914,43151,44855,44732,43710,41293,41441,42231,42719,46119,47777,46844,44512,41821,38331,35128,31741
1/4/2006,29211,27713,27128,27017,27557,29745,34875,39798,43695,45081,44932,44302,41822,41633,42253,43215,46366,48330,47429,45069,42397,39010,35760,32367
1/5/2006,29763,28210,27609,27296,27888,30012,34791,40252,44138,45659,45260,44325,41964,41807,42617,43208,46196,47626,46989,44375,41683,38441,35304,32147
1/6/2006,29443,27922,26978,26367,26385,26429,27955,29015,31236,33281,33950,33750,32483,30829,30616,31012,33779,36684,37332,36952,36137,34310,32062,29789
1/7/2006,28111,25858,25028,24663,25315,26502,29431,31690,34872,36846,36535,36093,34897,33881,34148,34573,37824,40773,41359,40071,37930,35089,32934,30085
1/8/2006,27743,26104,25122,24665,24621,25401,26658,27718,30052,32292,33158,33901,32479,31305,31493,31625,34243,37111,37907,37830,36687,34597,32305,28922
1/9/2006,26740,25748,25188,25190,26394,30050,38165,45315,48988,49769,49424,48275,45608,46970,48088,48638,51319,52778,51114,48158,45484,41609,37571,33738
1/10/2006,31358,29900,29446,29639,30356,32892,40409,47262,50750,51286,50632,48933,45950,47262,48514,49364,51971,53314,52090,49056,46356,42535,38525,34685
1/11/2006,32140,30912,30191,30174,30733,33641,41102,48028,51450,51995,51325,49773,46921,47657,48799,49636,52107,53646,52242,49077,46067,42536,38463,34861
1/12/2006,32384,30953,30422,30135,30833,33750,41129,47724,51497,51940,51490,50055,46611,47648,48890,49369,51706,53631,52063,49104,46441,42890,39128,35452
1/13/2006,32601,31132,30494,30200,30914,33660,41020,47506,51132,51518,51112,49385,46181,46917,48091,48689,50836,52973,51503,48428,45464,41690,37986,34394
1/14/2006,31687,30526,29516,29171,29651,30861,35310,39614,42268,43619,42734,40881,38172,37048,37337,37661,39686,43539,44085,42618,40004,37177,34875,32238
1/15/2006,29480,27609,26873,26265,26493,26849,28213,29514,32399,34865,35485,35702,34336,33036,32819,32890,34608,38248,39061,38677,37957,36015,33285,29788
1/16/2006,28024,27262,26667,26966,27935,31862,39865,47142,50900,51781,51807,50063,47268,48719,50037,50550,52595,53975,52469,49039,46485,42627,38543,34994
1/17/2006,32608,31238,30794,30754,31471,34208,41242,48575,52528,53099,52796,51398,48255,49290,50660,51479,53484,54395,52836,49384,46684,42656,38682,35172
1/18/2006,32364,30625,30078,29977,30658,33986,41283,48495,52263,53280,52687,51153,47950,48876,50008,50255,52809,53816,52656,49137,46123,42432,39091,35328
1/19/2006,32545,31206,30789,30495,31160,34134,41288,48537,51887,52623,52201,50354,47405,47734,48607,49518,51115,53666,52301,49299,46822,42953,39257,35417
1/20/2006,32982,31596,31084,31011,31727,34692,41771,48837,52230,52801,52324,50553,47271,48079,49208,49404,51001,53481,52532,49241,46251,42526,38861,35285
